@Machine id
@Number of Cores
@Power monitor
@Power GPU
@set of supported CPU speed
@set of power consumption associed to each supported CPU speed
@set of state transition supported
@set of latency associed to each state transition supported
@set of power consumption associed to each state transition supported 

V4-linux74	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V5-linux74	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V3-linux75	2	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V5-linux75	1	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
linux76	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.65|3.33|0.7
V2-linux76	4	0	0	3000000|2000000	120|80	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V4-linux76	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
linux77	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux77	2	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
V3-linux77	1	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
V4-linux79	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V3-linux220	2	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux240	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
linux241	2	0	0	1862000|1596000	65|55.71	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.71|3.33|0.7
V2-linux241	1	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
V2-linux244	4	0	0	3000000|2000000	120|80	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V3-linux244	1	0	0	3000000|2000000	65|43.33	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|43.33|3.33|0.7
linux246	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
linux247	2	0	0	2200000	65	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|50|3.33|0.7
linux248	2	0	0	2200000	65	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|50|3.33|0.7
V2-linux248	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
linux249	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux249	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V3-linux249	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V2-linux152	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V3-linux152	4	0	0	3000000|2000000	120|80	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux155	2	0	0	1800000|1200000	65|43.33	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|43.33|3.33|0.7
linux253	2	0	0	1800000|1200000	65|43.33	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|43.33|3.33|0.7
V2-linux253	2	0	0	2200000|1600000|1200000	65|47.27|35.45	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|35.45|3.33|0.7
linux252	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V2-linux148	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
linux254	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux143	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V5-linux143	1	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
linux142	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.65|3.33|0.7
V2-linux142	4	0	0	2200000|2000000	120|80	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V3-linux142	2	0	0	3000000|2000000	65|43.33	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|43.33|3.33|0.7
V5-linux142	1	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
linux147	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
linux145	2	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux145	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
linux144	2	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
V2-linux59	2	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux56	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V5-linux56	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux54	4	0	0	3000000|2000000	120|80	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V5-linux54	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux55	2	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
V2-linux52	1	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
V2-linux53	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V3-linux178	2	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V4-linux178	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V5-linux178	2	0	0	1862000|1596000	65|55.71	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.71|3.33|0.7
V4-linux179	1	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
V5-linux179	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V3-linux176	4	0	0	2200000|2000000	120|80	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
