MachineName Time Duracao
PUD-2K	1062613301	6629
WOOLEY-PC	1062613308	1823
STECKLER2-PC	1062613309	1822
WATCHIT	1062613310	1851
CECEROSE	1062613356	900
DAN	1062613365	1823
AMAER-PC	1062613366	1821
JKEPLING-2K	1062613434	900
BIGBEAR-2K	1062613467	14240
JAN-PC	1062613511	978
BREDDY-PC	1062613625	1823
WISHBONE-2K	1062613654	900
EUROPA-PC	1062613786	1821
HAWK1-PC	1062613854	900
SLAWEK-2K	1062613855	900
408-PC	1062613856	900
CRB-CONF-PC	1062613856	900
GREENACRES	1062613856	900
LPW12	1062613856	900
PHLEBOTOMIST	1062613856	900
DESHPANDE-PC	1062613857	900
BERMAN-PC	1062613866	900
SHANKAR4-PC	1062613866	900
CSMITH-PC	1062613867	900
DUSTINS-PC	1062613867	900
OJHA-PC	1062613867	900
PROWLER-PC	1062613867	900
VOYAGER-2K	1062613867	901
STOCKS-PC	1062613868	900
CSHEN-2K	1062613872	900
MORELAND-2K	1062613900	1823
MAXIMUS-PC	1062613901	901
T-ALTAIR	1062613903	900
T-WOLF	1062613904	900
ALTINTAS-2K	1062613909	900
LPW24	1062613910	900
T-DRAGO	1062613913	900
T-VIRGO	1062613913	900
T-PISCSIS	1062613915	900
HJASSO	1062613920	900
ENS-GUEST-PC	1062613921	900
T-ERIDAN	1062613922	900
LAWRENCE-2K	1062613923	900
T-ROSS	1062613926	900
SCHUI-PC	1062613927	900
BLUESCREEN	1062613931	900
T-BESSEL	1062613935	900
T-KENT	1062613935	900
T-INDI	1062613938	900
APOLLO-2K	1062613941	900
DMITRY-2K	1062613949	900
FLERI-PC	1062613966	1026
OPS-PC	1062613978	900
PANCAKE-PC	1062613990	900
STARSCREAM	1062613999	900
MARCIANO-2K	1062614063	900
MINIME	1062614088	900
PUBLIC-PC	1062614089	901
LPW7	1062614090	900
VISPC-6	1062614103	900
IBSPC1	1062614114	900
NESTLE-2K	1062614115	900
BEHERE-2K	1062614137	900
LPW21	1062614140	900
CCWONG-PC	1062614141	900
CUTCHIN2-PC	1062614142	900
CHANDA-2K	1062614148	900
KANGA	1062614149	900
T-SOL	1062614150	900
DONBOT	1062614153	900
FLEXO	1062614154	900
ANDREWS-PC	1062614156	900
KAMRATHA-PC	1062614156	900
CRB158A-1	1062614171	900
462-PC	1062614213	900
SHINDYALOV-2K	1062614268	903
SIMAST-2K	1062614302	900
MAFALDA	1062614447	900
HAWK3-PC	1062614465	900
CENON-2K	1062614599	900
CECEROSE	1062614677	900
WISHBONE-2K	1062614685	900
MORAN-PC	1062615242	13833
PANCAKE-PC	1062615312	900
BLATECKY-ADMIN	1062615493	1329
CYLEE-2K	1062615494	21706
DMITRY-2K	1062615504	900
MARCIANO-2K	1062615618	900
NESTLE-2K	1062615638	900
MDIMEGLI-PC	1062616213	900
VNANDIGAM-PC	1062616284	1859
KASHA2-PC	1062616343	6897
BLATECKY-ADMIN	1062617182	900
GENOME-2K	1062617660	3680
LDOLAN-2K	1062617968	4715
CHIMCHIM	1062618262	18938
STEWART-2K	1062619355	11965
POTOROO-2K	1062619480	1183
BLATECKY-ADMIN	1062619655	14980
NOT-PC	1062620122	2770
IRENE-PC	1062620601	9292
KATE-2K	1062620676	7571
DONATE1-PC	1062620720	5582
TAMMYB-PC	1062620904	1183
CSHEN-2K	1062621162	900
VNANDIGAM-PC	1062621323	1820
PUD-2K	1062621778	2803
FBADMIN-PC	1062621977	4681
NING-PC	1062622401	4620
BWEST-PC2	1062622524	3684
GENOME-2K	1062622819	1811
CHRISMAN-2K	1062622900	4383
LPW14	1062624265	2771
JAN-PC	1062625102	900
AKZO	1062625823	11377
JCZECH-2K	1062626310	10890
POTOROO-2K	1062627099	2007
GENOME-2K	1062627740	2754
PUD-2K	1062627960	3161
AMOREIRA-PC	1062628150	6518
SINCOVIT-2K	1062628232	1837
TAMMYB-PC	1062630617	6583
WINWIZZA	1062630735	4013
PUD-2K	1062631242	5958
STEWART-2K	1062631446	3851
CSHEN-2K	1062631513	2192
POTOROO-2K	1062631651	5549
MORAN-PC	1062631875	3310
BIGBEAR-2K	1062632560	1824
KASHA2-PC	1062632596	4604
MDIMEGLI-PC	1062632609	4591
DONATE1-PC	1062633856	3344
IRENE-PC	1062634033	3167
GENOME-2K	1062634753	2447
KATE-2K	1062635308	1892
AMOREIRA-PC	1062635310	1890
JAN-PC	1062635655	1545
MORAN-PC	1062635836	1364
VNANDIGAM-PC	1062635837	1363
LDOLAN-2K	1062635974	1226
CSHEN-2K	1062636195	1005
WINWIZZA	1062636565	635
BIGBEAR-2K	1062637065	135
LPW11	1062637156	44
LINDA-PC	1062637200	241
CHRISMAN-2K	1062637200	257
AKIRA	1062637200	261
OPS-PC	1062637200	447
JAN-PC	1062637200	476
RITKE-PC	1062637200	556
BWEST-PC2	1062637200	670
LN1	1062637200	855
HAWK3-PC	1062637200	1223
HAWK4-PC	1062637200	1388
KAMRATHA-PC	1062637200	1625
LPW24	1062637200	1771
ALTINTAS-2K	1062637200	1778
ENS-GUEST-PC	1062637200	1778
DONBOT	1062637200	1801
IBSPC1	1062637200	1815
LPW7	1062637200	1895
BORG-2K	1062637200	1934
APOLLO-2K	1062637200	1946
WATCHIT	1062637200	2001
CYLEE-2K	1062637200	2037
CRB158A-1	1062637200	2072
SIMAST-2K	1062637200	2203
VOYAGER-2K	1062637200	2245
